issue_type,category,filename,gender,source,url,note,extra
duplicate_item,clothes,zapatos_rosados.png,unisex,avatares/clothes/zapatos_rosados.png,/static/assets/clothes/unisex/zapatos_rosados.png,,
duplicate_summary,,calentadoras.png,female|unisex,avatares/clothes/calentadoras.png;backend/static/assets/clothes/female/calentadoras.png,,count=2,
duplicate_item,clothes,calentadoras.png,female,backend/static/assets/clothes/female/calentadoras.png,/static/assets/clothes/female/calentadoras.png,,
duplicate_item,clothes,calentadoras.png,unisex,avatares/clothes/calentadoras.png,/static/assets/clothes/unisex/calentadoras.png,,
duplicate_summary,,falda_blanca.png,female|unisex,avatares/clothes/falda_blanca.png;backend/static/assets/clothes/female/falda_blanca.png,,count=2,
duplicate_item,clothes,falda_blanca.png,female,backend/static/assets/clothes/female/falda_blanca.png,/static/assets/clothes/female/falda_blanca.png,,
duplicate_item,clothes,falda_blanca.png,unisex,avatares/clothes/falda_blanca.png,/static/assets/clothes/unisex/falda_blanca.png,,
duplicate_summary,,camisa_colombia_2.png,male|unisex,backend/static/assets/clothes/male/camisa_colombia_2.png;avatares/clothes/camisa_colombia_2.png,,count=2,
duplicate_item,clothes,camisa_colombia_2.png,male,backend/static/assets/clothes/male/camisa_colombia_2.png,/static/assets/clothes/male/camisa_colombia_2.png,,
duplicate_item,clothes,camisa_colombia_2.png,unisex,avatares/clothes/camisa_colombia_2.png,/static/assets/clothes/unisex/camisa_colombia_2.png,,
duplicate_summary,,pantalon_rojo.png,male|unisex,backend/static/assets/clothes/male/pantalon_rojo.png;avatares/clothes/pantalon_rojo.png,,count=2,
duplicate_item,clothes,pantalon_rojo.png,male,backend/static/assets/clothes/male/pantalon_rojo.png,/static/assets/clothes/male/pantalon_rojo.png,,
duplicate_item,clothes,pantalon_rojo.png,unisex,avatares/clothes/pantalon_rojo.png,/static/assets/clothes/unisex/pantalon_rojo.png,,
duplicate_summary,,pantalon_blanco.png,male|unisex,backend/static/assets/clothes/male/pantalon_blanco.png;avatares/clothes/pantalon_blanco.png,,count=2,
duplicate_item,clothes,pantalon_blanco.png,male,backend/static/assets/clothes/male/pantalon_blanco.png,/static/assets/clothes/male/pantalon_blanco.png,,
duplicate_item,clothes,pantalon_blanco.png,unisex,avatares/clothes/pantalon_blanco.png,/static/assets/clothes/unisex/pantalon_blanco.png,,
duplicate_summary,,pantalon_azul.png,male|unisex,backend/static/assets/clothes/male/pantalon_azul.png;avatares/clothes/pantalon_azul.png,,count=2,
duplicate_item,clothes,pantalon_azul.png,male,backend/static/assets/clothes/male/pantalon_azul.png,/static/assets/clothes/male/pantalon_azul.png,,
duplicate_item,clothes,pantalon_azul.png,unisex,avatares/clothes/pantalon_azul.png,/static/assets/clothes/unisex/pantalon_azul.png,,
duplicate_summary,,camisa_colombia.png,male|unisex,backend/static/assets/clothes/male/camisa_colombia.png;avatares/clothes/camisa_colombia.png,,count=2,
duplicate_item,clothes,camisa_colombia.png,male,backend/static/assets/clothes/male/camisa_colombia.png,/static/assets/clothes/male/camisa_colombia.png,,
duplicate_item,clothes,camisa_colombia.png,unisex,avatares/clothes/camisa_colombia.png,/static/assets/clothes/unisex/camisa_colombia.png,,
duplicate_summary,,real_madrid.png,male|unisex,backend/static/assets/clothes/male/real_madrid.png;avatares/clothes/real_madrid.png,,count=2,
duplicate_item,clothes,real_madrid.png,male,backend/static/assets/clothes/male/real_madrid.png,/static/assets/clothes/male/real_madrid.png,,
duplicate_item,clothes,real_madrid.png,unisex,avatares/clothes/real_madrid.png,/static/assets/clothes/unisex/real_madrid.png,,
duplicate_summary,,pantalon_cafe.png,male|unisex,avatares/clothes/pantalon_cafe.png;backend/static/assets/clothes/male/pantalon_cafe.png,,count=2,
duplicate_item,clothes,pantalon_cafe.png,male,backend/static/assets/clothes/male/pantalon_cafe.png,/static/assets/clothes/male/pantalon_cafe.png,,
duplicate_item,clothes,pantalon_cafe.png,unisex,avatares/clothes/pantalon_cafe.png,/static/assets/clothes/unisex/pantalon_cafe.png,,
duplicate_summary,,camisa_elegante_blanca.png,male|unisex,backend/static/assets/clothes/male/camisa_elegante_blanca.png;avatares/clothes/camisa_elegante_blanca.png,,count=2,
duplicate_item,clothes,camisa_elegante_blanca.png,male,backend/static/assets/clothes/male/camisa_elegante_blanca.png,/static/assets/clothes/male/camisa_elegante_blanca.png,,
duplicate_item,clothes,camisa_elegante_blanca.png,unisex,avatares/clothes/camisa_elegante_blanca.png,/static/assets/clothes/unisex/camisa_elegante_blanca.png,,
duplicate_summary,,hair_4.png,female|unisex,backend/static/assets/hair/female/hair_4.png;avatares/hair/hair_4.png,,count=2,
duplicate_item,hair,hair_4.png,female,backend/static/assets/hair/female/hair_4.png,/static/assets/hair/female/hair_4.png,,
duplicate_item,hair,hair_4.png,unisex,avatares/hair/hair_4.png,/static/assets/hair/unisex/hair_4.png,,
duplicate_summary,,hair_2.png,female|unisex,avatares/hair/hair_2.png;backend/static/assets/hair/female/hair_2.png,,count=2,
duplicate_item,hair,hair_2.png,female,backend/static/assets/hair/female/hair_2.png,/static/assets/hair/female/hair_2.png,,
duplicate_item,hair,hair_2.png,unisex,avatares/hair/hair_2.png,/static/assets/hair/unisex/hair_2.png,,
duplicate_summary,,hair_1.png,female|unisex,avatares/hair/hair_1.png;backend/static/assets/hair/female/hair_1.png,,count=2,
duplicate_item,hair,hair_1.png,female,backend/static/assets/hair/female/hair_1.png,/static/assets/hair/female/hair_1.png,,
duplicate_item,hair,hair_1.png,unisex,avatares/hair/hair_1.png,/static/assets/hair/unisex/hair_1.png,,
duplicate_summary,,hair_3.png,female|unisex,avatares/hair/hair_3.png;backend/static/assets/hair/female/hair_3.png,,count=2,
duplicate_item,hair,hair_3.png,female,backend/static/assets/hair/female/hair_3.png,/static/assets/hair/female/hair_3.png,,
duplicate_item,hair,hair_3.png,unisex,avatares/hair/hair_3.png,/static/assets/hair/unisex/hair_3.png,,
duplicate_summary,,hair_6.png,male|unisex,avatares/hair/hair_6.png;backend/static/assets/hair/male/hair_6.png,,count=2,
duplicate_item,hair,hair_6.png,male,backend/static/assets/hair/male/hair_6.png,/static/assets/hair/male/hair_6.png,,
duplicate_item,hair,hair_6.png,unisex,avatares/hair/hair_6.png,/static/assets/hair/unisex/hair_6.png,,
duplicate_summary,,hair_5.png,male|unisex,avatares/hair/hair_5.png;backend/static/assets/hair/male/hair_5.png,,count=2,
duplicate_item,hair,hair_5.png,male,backend/static/assets/hair/male/hair_5.png,/static/assets/hair/male/hair_5.png,,
duplicate_item,hair,hair_5.png,unisex,avatares/hair/hair_5.png,/static/assets/hair/unisex/hair_5.png,,
duplicate_summary,,hair_7.png,male|unisex,avatares/hair/hair_7.png;backend/static/assets/hair/male/hair_7.png,,count=2,
